City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
194,Acarau,BR,2020-04-04 18:51:18,-2.89,-40.12,83.26,82,100,8.95
195,Esperance,AU,2020-04-04 18:50:52,-33.87,121.9,51.8,87,32,5.82
196,Sijunjung,ID,2020-04-04 19:00:52,-0.69,100.95,75.31,82,100,1.68
197,Roebourne,AU,2020-04-04 18:55:53,-20.78,117.13,80.67,75,74,5.32
198,Kanigiri,IN,2020-04-04 19:00:53,15.4,79.52,77.22,82,0,8.59
199,Zhangye,CN,2020-04-04 18:52:21,38.93,100.45,46.6,26,67,2.42
200,Caravelas,BR,2020-04-04 18:51:04,-17.71,-39.25,81.23,79,60,19.19
201,Tondon,GN,2020-04-04 19:00:53,10.37,-13.35,93.51,36,3,10.29
202,Krasnoselkup,RU,2020-04-04 18:51:25,65.7,82.47,34.18,90,98,24.85
203,Leningradskiy,RU,2020-04-04 18:50:53,69.38,178.42,-2.85,88,95,15.64
204,Comodoro Rivadavia,AR,2020-04-04 19:00:01,-45.87,-67.5,64.4,27,0,25.28
205,Asha,RU,2020-04-04 19:00:53,55.0,57.27,35.91,89,100,1.32
206,Pevek,RU,2020-04-04 19:00:53,69.7,170.31,-4.94,92,100,8.95
207,Qaanaaq,GL,2020-04-04 19:00:53,77.48,-69.36,11.7,81,87,6.67
208,San Policarpo,PH,2020-04-04 19:00:54,12.18,125.51,79.99,81,3,11.59
209,Saldanha,ZA,2020-04-04 18:51:07,-33.01,17.94,64.4,77,100,3.36
210,La Ronge,CA,2020-04-04 18:51:22,55.1,-105.28,17.6,40,5,5.82
211,Black River,JM,2020-04-04 19:00:54,18.03,-77.85,86.0,66,20,17.22
212,Alugan,PH,2020-04-04 18:56:29,12.22,125.48,79.72,81,4,11.56
213,Sevierville,US,2020-04-04 18:57:59,35.87,-83.56,77.0,27,1,6.93
214,Provideniya,RU,2020-04-04 19:00:54,64.38,-173.3,15.33,94,100,16.31
215,Gazli,UZ,2020-04-04 19:00:54,40.13,63.45,65.48,48,55,11.32
216,Awjilah,LY,2020-04-04 19:00:54,29.11,21.29,66.63,45,0,20.18
217,Vieste,IT,2020-04-04 19:00:54,41.88,16.18,57.99,47,75,13.87
218,Baymak,RU,2020-04-04 19:00:55,52.59,58.32,34.92,83,98,4.5
219,Mount Gambier,AU,2020-04-04 18:51:19,-37.83,140.77,53.6,93,75,19.46
220,Husavik,IS,2020-04-04 18:52:13,66.04,-17.34,19.4,85,90,38.03
221,Kieta,PG,2020-04-04 18:51:35,-6.22,155.63,78.04,78,84,4.81
222,Klaksvik,FO,2020-04-04 19:00:55,62.23,-6.59,39.2,93,100,24.16
223,Cockburn Town,TC,2020-04-04 18:54:50,21.46,-71.14,75.09,57,4,6.82
224,Binangonan,PH,2020-04-04 19:00:55,14.47,121.18,80.01,74,20,5.82
225,Brigantine,US,2020-04-04 19:00:55,39.41,-74.36,57.0,66,90,8.05
226,Broome,US,2020-04-04 18:51:18,42.25,-75.83,55.0,71,90,4.7
227,Borogontsy,RU,2020-04-04 19:00:56,62.67,131.17,19.98,96,100,9.37
228,Porto Novo,BJ,2020-04-04 18:52:24,6.5,2.6,84.2,79,40,10.29
229,Carbonia,IT,2020-04-04 19:00:56,39.17,8.52,57.2,76,0,6.93
230,Margate,GB,2020-04-04 18:56:37,51.38,1.39,55.0,81,13,10.29
231,Puerto Baquerizo Moreno,EC,2020-04-04 18:52:56,-0.9,-89.6,80.6,94,75,5.82
232,Bambous Virieux,MU,2020-04-04 18:48:43,-20.34,57.76,78.8,83,75,6.93
233,Balurghat,IN,2020-04-04 19:00:56,25.22,88.77,76.46,17,0,2.26
234,Kapoeta,SS,2020-04-04 19:00:56,4.77,33.59,86.83,35,86,8.14
235,Pringsewu,ID,2020-04-04 19:00:56,-5.36,104.97,76.19,89,100,1.25
236,Port Hardy,CA,2020-04-04 18:51:32,50.7,-127.42,39.2,69,90,5.82
237,Dubbo,AU,2020-04-04 19:00:56,-32.25,148.62,50.0,93,0,4.41
238,Nanyuki,KE,2020-04-04 19:00:57,0.02,37.07,60.4,49,78,4.61
